pair,are_same_entity,confidence,left_norm,right_norm
3,False,0.3,natl ctr on domestic and sexual violence,sexual violence law ctr
4,False,0.4,immigrant legal ctr,immigrant legal defense
5,True,0.9,aasa the school superintendents assn,aasa the superintendents assn
6,False,0.3,pioneer public interest law ctr,public interest law project
7,False,0.2,software finance and tax executives council,tax executives inst
8,False,0.4,california assn of realtors®,natl assn of realtors®
9,False,0.95,central florida assn of criminal defense lawyers,virginia assn of criminal defense lawyers
10,False,0.8,jane doe,jane doe films
1,False,0.9,intl assn of chiefs of police,washington state assn of sheriffs and police chiefs
2,False,0.9,maine coalition to end domestic violence,nevada coalition to end domestic and sexual violence
3,False,0.8,natl justice for our neighbors,our justice
4,False,0.9,college of southern nevada,help of southern nevada
5,False,0.9,dc coalition against domestic violence,lawyers comm against domestic violence new york
6,False,0.7,faith and freedom fdn,freedom x
7,False,0.9,american bar assn,new england muslim bar assn
8,False,0.9,contra costa community college district,contra costa health plan
9,True,1.0,gun owners fdn,gun owners fdn.
10,True,1.0,intl municipal lawyers assn,intl municipal lawyer’s assn
1,False,0.3,american booksellers for free expression,free expression fdn
2,False,0.2,american assn of public health physicians,assn of american physicians and surgeons
3,False,0.2,new hampshire hospital assn,new hampshire medical soc
4,True,0.9,oklahoma state chamber research fdn,state chamber of oklahoma
5,False,0.1,ctr for humane technology,trane technologies
6,False,0.2,american ctr for law and justice,ctr for consumer law and economic justice
7,True,0.95,presente,presente.org
8,True,0.95,league of women voters california,league of women voters of california
9,False,0.1,family policy alliance of new mexico,new mexico asian family ctr
10,True,0.85,interfaith alliance,interfaith alliance fdn
1,True,0.9,family leader,family leader (iowa)
2,False,0.3,citizens comm for the right to keep and bear arms,ctr to keep and bear arms
3,False,0.4,oregon state public interest research grp,u.s. public interest research grp
4,True,0.95,ctr for investigative reporting (d/b/a reveal),reveal from the ctr for investigative reporting
5,True,0.9,american soc for gastrointestinal endoscopy,american soc of gastrointestinal endoscopy
6,False,0.8,illinois pork producers assn,state pork producer assn of iowa
7,False,0.9,american conservative union fdn nolan ctr for justice,brennan ctr for justice
8,False,0.7,mennonite church usa,university mennonite church
9,False,0.95,american fed of state county and municipal employees,american fed of teachers (afl-cio)
10,True,0.85,natl assn for behavioral healthcare,natl council for behavioral health
1,True,0.9,natl health law program,natl health law project
2,False,0.95,great lakes justice ctr,great lakes timber professionals assn
3,True,0.95,former executive office for immigration review judges,former executive office of immigration review judges
4,False,0.9,voices for children in nebraska,voices for vermont’s children
5,True,0.95,leadership conference for civil and human rights,leadership conference on civil and human rights
6,False,0.9,local government legal ctr,local governments
7,False,0.9,family heritage alliance,jewish heritage fdn
8,False,0.95,new hampshire hospital assn,new hampshire right to life
9,False,0.95,ctr for children’s law and policy,emory environmental law soc
10,False,0.9,children’s ctr,women’s and children’s advocacy project
1,False,0.9,legal aid of north carolina,n.c. chamber legal inst
2,False,0.8,autonomic technologies,dell technologies
3,False,0.95,california state sheriffs assn,washington state assn of sheriffs and police chiefs
4,True,0.85,upmc,upmc for you
5,False,0.95,aclu of the district of columbia,bar assn for the district of columbia
6,False,0.9,american assn of pro-life obstetricians and gynecologists,american gynecological and obstetrical soc
7,False,0.85,animal activist legal defense project,animal legal defense fund
8,True,0.9,naral pro-choice america,naral pro-choice north carolina
9,False,0.9,american bakers assn,independent bakers assn
10,False,0.95,pro-choice ohio,pro-choice wyoming
1,False,0.9,community legal services of philadelphia,lgbtq bar assn of philadelphia
2,False,0.8,freedom fdn,women’s inst for freedom of the press
3,False,0.85,family fdn action,wisconsin family council
4,False,0.7,natl comm for amish religious freedom,natl comm for religious freedom
5,False,0.9,action for life,natl coalition for men
6,False,0.95,airlines for america,american airlines
7,False,0.7,integrity inst,public integrity alliance
8,False,0.95,mt innocence project,taiwan innocence project
9,False,0.9,california assn of realtors®,natl assn of realtors
10,False,0.95,ctr on the administration of criminal law at nyu school of law,tax law ctr at nyu law
1,False,0.7,california reserve peace officers assn,reserve org of america
2,False,0.9,democrats abroad,democrats for life
3,False,0.6,natl assn of police org,natl police assn
4,False,0.95,federal defender for the district of arizona,federal public defender eastern district of california
5,False,0.8,lauder partners,louder partners
6,False,0.95,american bar assn,federal circuit bar assn
7,False,0.7,americans for immigrant justice,justice for migrant women
8,False,0.6,defense of freedom inst,freedom ctr fdn
9,False,0.5,independent health plan,plan c
10,False,0.95,alabama criminal defense lawyers assn,kentucky assn of criminal defense lawyers
1,False,0.9,kansas coalition against sexual and domestic violence,vermont network against domestic and sexual violence
2,False,0.95,american bar assn,natl lgbtq+ bar assn
3,False,0.8,american medical women’s assn,women’s medical fund
4,True,0.95,california retail assn,california retailers assn
5,False,0.95,church of god in christ,united church of christ
6,False,0.9,ctr for environmental accountability,emory environmental law soc
7,True,0.95,natl capacd-natl coalition for asian pacific american community development,natl coalition for asian pacific american community development
8,False,0.9,natl louis university,trinity washington university
9,False,0.95,american farm bureau fed,tennessee farm bureau fed
10,False,0.9,eagle forum fdn,eagle forum of alabama
1,False,1.0,missouri republican party,north carolina republican party
2,False,0.9,colorado coalition against sexual assault,south carolina coalition against domestic violence and sexual assault
3,False,1.0,american hospital assn,mississippi college
4,False,1.0,american sexual health assn,mental health america of greater dallas
5,False,1.0,california tribal police chiefs assn,connecticut police chiefs assn
6,False,0.9,innocence project new york new york,new economy project (new york)
7,False,1.0,aclu of puerto rico,florida assn of criminal defense lawyers
8,False,1.0,indiana university,wesleyan university
9,False,0.9,alliance for choice in education,intl alliance for christian education
10,False,0.95,young americans for freedom,young americans for liberty
1,False,0.3,natl law school veterans clinic consortium,veterans’ advocacy law clinic
2,False,0.9,district attorneys’ assn of georgia,oklahoma district attorneys assn
3,False,0.2,hope fair housing ctr,new hope
4,False,0.1,black women’s roundtable,real estate roundtable
5,False,0.4,natl indian health board,seattle indian health board
6,False,0.2,long island chinese american assn,long island housing services
7,False,0.3,california gun rights fdn,women for gun rights
8,True,0.85,palmetto promise,palmetto promise inst
9,True,0.9,legal aid soc,legal aid soc (new york)
10,False,0.3,community legal ctr,community legal services
1,False,0.8,ctr for family and human rights,ctr for human rights and constitutional law
2,False,0.7,cure america action,secure america alliance
3,False,0.9,dell technologies,here technologies
4,True,0.95,austin region justice for our neighbors,san antonio region justice for our neighbors
5,True,0.95,disability rights california,disability rights tennessee
6,False,0.7,new mexico public interest research grp fund,u.s. public interest research grp education fund
7,False,0.8,assn of classical christian schools,texas charter schools assn
8,False,0.7,disability rights advocates,human rights advocates
9,False,0.7,asian american community services,community legal services
10,False,0.9,iowa bankers assn,texas bankers assn
1,False,0.8,economic policy inst,maine ctr for economic policy
2,False,0.7,islam and religious freedom action team,natl comm for religious freedom
3,False,0.6,ctr for family and human rights,human rights defense ctr
4,False,0.9,american medical assn,catholic medical mission board
5,False,0.7,138 women hurt by planned parenthood abortions,women injured by abortion
6,False,0.7,american civil liberties union,civil liberties defense ctr
7,False,0.9,arkansas assn of chiefs of police,intl assn of chiefs of police
8,False,0.9,american bankers assn,swiss bankers assn
9,False,0.7,ctr for public justice,public justice inst
10,False,0.9,maine coalition to end domestic violence,new jersey coalition to end domestic violence
1,False,0.3,nonprofit alliance,washington nonprofits
2,False,0.2,pennsylvania pro-life fed,pro-life texas
3,False,0.1,alliance for catholic health care,south asian public health assn
4,False,0.4,children and family justice ctr,children’s ctr
5,True,0.9,natl assn for latino community asset builders,natl assn of latino community asset builders
6,False,0.2,middle rio grande conservancy district,rio grande intl study ctr
7,False,0.1,assn of the bar of the city of new york,legal aid soc of mid-new york
8,False,0.2,ctr for environmental accountability,environmental fed of oklahoma
9,False,0.5,american civil liberties union,american civil liberties union fdn of maine
10,False,0.1,assn of washington business,texas assn of business
1,False,0.8,american fed of labor and congress of industrial org,utah american fed of labor and congress of industrial org
2,False,0.9,homeless alliance,natl alliance to end sexual violence
3,True,0.95,making every vote count,making every vote count fdn
4,False,0.9,capital research ctr,media action ctr
5,True,0.9,service employees intl union,service employees intl union 32bj
6,False,0.95,colorado criminal defense bar,oregon criminal defense lawyers assn
7,False,0.85,ctr for justice and freedom,fdn for michigan freedom
8,False,0.85,alabama ctr for law and liberty,liberty life and law fdn
9,False,0.9,texas trucking assn,western states trucking assn
10,False,0.95,new mexico hospital assn,new mexico mining assn
1,False,0.9,california peace officers’ assn,reserve officers assn d/b/a reserve org of america
2,False,0.95,alabama criminal defense lawyers assn,montana assn of criminal defense lawyers
3,False,0.95,florida legal fdn,pacific legal fdn
4,False,0.99,natl alliance to end homelessness,natl alliance to end sexual violence
5,False,0.9,assn of christian schools intl,wisconsin assn of christian schools
6,False,0.99,business council of new york state,new york state council of churches
7,False,0.85,children’s rights,louisiana ctr for children’s rights
8,False,0.9,immigration law reform inst,immigration reform law inst
9,False,0.95,american constitutional rights union,california gun rights fdn
10,False,0.9,immigrant legal advocacy project,natl immigrant women’s advocacy project
1,False,0.9,western states petroleum assn,western states trucking assn
2,False,0.9,connecticut state colleges and universities,natl assn of independent colleges and universities
3,False,0.7,american small business league,small business forward
4,True,0.95,league of women voters,league of women voters of sf
5,False,0.95,colorado right to life,texas right to life
6,False,0.95,san francisco giants,san francisco rising
7,False,0.9,california women’s law ctr,southwest women’s law ctr
8,False,0.95,asociación de periodistas de puerto rico,liga de ciudades de puerto rico
9,False,0.85,california immigrant policy ctr,ctr for u.s. policy
10,False,0.9,ctr for investigative reporting (d/b/a reveal),mississippi ctr for investigative reporting
1,False,0.9,california policy ctr,ctr for law and social policy
2,False,0.9,housing alliance de,virginia voters alliance
3,False,0.95,american assn of independent music,independent inst
4,False,0.95,government finance officers assn,native american financial services assn
5,False,0.95,american bar assn,new york state bar assn
6,True,0.9,march for life,march for life education and defense fund
7,False,0.9,league of arizona cities and towns,natl league of cities
8,False,0.9,5 law library org,american library assn
9,False,0.9,alliance san diego,federal defenders of san diego
10,False,0.9,american alliance for equal rights,human rights advocates
1,False,0.9,california trucking assn,west virginia trucking assn
2,False,0.9,federal defender for the eastern district of california,federal public defender for the district of oregon
3,False,0.9,democracy 21,project 21
4,True,0.95,natl lgbt bar assn,natl lgbtbar assn and fdn
5,True,1.0,downsize dc fdn,downsize dc fdn.
6,False,1.0,san francisco giants,san francisco tenants union
7,False,0.8,criminal defense attorneys,defense attorneys
8,False,0.9,american constitutional rights union,ctr for constitutional rights
9,False,0.9,california county gun owners,gun owners of america
10,False,0.9,chicago alliance against sexual exploitation,natl ctr on sexual exploitation
1,False,0.8,criminal defense attorneys,maryland criminal defense attorneys’ assn
2,False,0.9,greater new york hospital assn,lgbt bar of new york
3,True,0.95,certain former commissioners of the american bankruptcy inst’s commission to study the reform of chapter 11,co-chairs of the american bankruptcy inst’s commission to study the reform of chapter 11
4,False,0.7,children and family justice ctr,children’s law ctr
5,False,0.85,california reserve peace officers assn,united reserve fund
6,False,0.95,alabama trucking assn,minnesota trucking assn
7,False,0.95,california farm bureau,texas farm bureau
8,True,1.0,adl (anti-defamation league),anti-defamation league
9,False,0.8,advocates for human rights,disability rights advocates
10,False,0.9,kentucky captive assn,kentucky hospital assn
1,False,0.9,colorado criminal defense bar,maine assn of criminal defense lawyers
2,False,0.9,american indian development associates,american resort development assn
3,True,0.85,students for life action,students for life of america
4,True,0.95,asian americans advancing justice,asian americans advancing justice-los angeles
5,False,0.95,massachusetts chapter of the natl academy of elder law attorneys,massachusetts chapter of the natl org for women
6,False,0.8,in the public interest,public interest legal fdn
7,False,0.9,central atlantic conference of the united church of christ,plymouth congregational united church of christ
8,False,0.9,new york county defender service,new york county lawyers’ assn
9,False,0.85,chambers of commerce,u.s. chamber of commerce
10,False,0.9,california farm bureau,oklahoma farm bureau legal fdn
1,True,0.9,asset management grp of the securities industry and financial markets assn,securities and financial markets assn
2,False,0.8,texas advocacy project,western regional advocacy project
3,False,0.9,georgia coalition against domestic violence,washington coalition against domestic violence
4,False,0.7,alabama criminal defense lawyers assn,criminal defense org
5,True,1.0,u.s. conference of catholic bishops,united states conference of catholic bishops
6,False,0.6,media law resource ctr,media resources
7,False,0.9,arkansas state chamber of commerce,boise metro chamber of commerce
8,False,0.8,illinois health care assn,illinois primary health care assn
9,False,0.7,natl coalition on black civic participation,natl coalition on black civic participation-black women’s roundtable
10,False,0.8,disability rights advocates,disability rights vermont
1,False,1.0,colorado psychological assn,healthcare assn of new york state
2,False,0.8,gas and oil assn of west virginia,independent oil and gas assn of west virginia
3,False,0.7,nevada policy,nevada policy research inst
4,False,1.0,texas trucking assn,western states petroleum assn
5,False,1.0,aclu of the district of columbia,american civil liberties union of michigan
6,False,0.9,alabama trucking assn,american trucking assn
7,False,0.8,freedom fdn of washington,washington legal fdn
8,False,1.0,indiana smoke free alliance,minnesota smoke free alliance
9,False,1.0,american vapor manufacturers assn,american walnut manufacturers assn
10,False,1.0,disability rights louisiana,disability rights new york
1,False,0.7,human rights campaign,human rights campaign fdn
2,False,0.8,illinois right to life,natl right to life comm
3,False,0.9,american public health assn,public interest law ctr
4,False,0.9,natl assn of black owned broadcasters,natl religious broadcasters
5,False,0.8,assn of medical device reprocessors,assn of medical device service org
6,False,0.9,aclu of minnesota,minnesota chinese assn
7,False,0.9,aclu of minnesota,minnesota sheriffs’ assn
8,False,0.7,americans for immigrant justice,natl immigrant justice ctr
9,False,0.8,american civil liberties union fdn,texas civil liberties union
10,False,0.95,ctr for u.s. policy,washington post
1,False,0.9,freedom leadership conference,natl hispanic leadership conference
2,False,0.8,criminal justice legal fdn,digital justice fdn
3,False,0.95,league of conservation voters,league of women voters of california
4,False,0.95,president of the house of deputies of the episcopal church,presiding bishop of the episcopal church
5,False,0.9,internet accountability project,internet archive
6,False,1.0,indiana republican party,north carolina republican party
7,False,0.9,atlanta legal aid soc,legal aid soc of mid-new york
8,False,0.85,georgia coalition against domestic violence,natl ctr on domestic and sexual violence
9,True,0.9,if when how-unm school of law chapter,if/when/how
10,False,0.9,eagle forum fdn,eagle forum of georgia
1,False,0.9,children’s law ctr of minnesota,immigrant law ctr of minnesota
2,False,0.9,march for moms,moms for liberty
3,False,1.0,equality new york,trucking assn of new york
4,False,0.95,northwestern community college,university of northwestern-st. paul
5,False,0.95,anderson university,marian university
6,False,1.0,arizona chamber of commerce and industry,natl black chamber of commerce
7,False,0.95,access housing. district of columbia,aclu of the district of columbia
8,False,0.9,comm for children,her justice
9,False,0.95,community legal services of philadelphia,defender assn of philadelphia
10,False,0.95,american academy of family physicians,intl academy of family lawyers
1,False,0.9,american assn of university women of florida,university of florida
2,False,0.9,ctr for medicine in the public interest,nebraska appleseed
3,False,0.7,advocates for human rights,human rights advocates
4,False,0.95,asian pacific american bar assn of los angeles county,lgbtq+ lawyers assn of los angeles
5,False,0.95,healthcare assn of new york state,new york state vapor assn
6,False,0.9,american council of the blind,natl industries for the blind
7,False,0.8,american right to life,right to life of michigan
8,False,0.95,airlines for america,alaska airlines
9,False,0.85,american firearms assn,oregon firearms fed
10,False,0.9,asian american bar assn of new york,new york state bar assn
1,False,0.9,arkansas assn of chiefs of police,utah chiefs of police assn
2,False,0.8,california employment lawyers assn,natl employment lawyers’ assn
3,False,0.9,disability rights california,disability rights maryland
4,False,0.95,new jersey state office of the public defender,office of the ohio public defender
5,False,0.95,aclu fdn of texas,aclu of washington
6,False,0.9,alliance san diego,san diego county gun owners political action comm
7,False,0.85,americans for immigrant justice,heartland alliance’s natl immigrant justice ctr
8,True,0.95,anglican church in north america,diocese of the mid-atlantic of the anglican church in north america
9,True,0.95,asian americans advancing justice,asian americans advancing justice-southern california
10,False,0.85,ctr for public justice,public justice p.c.
1,False,0.9,alliance for educational justice,lone star justice alliance
2,False,0.7,frontline,frontline policy council
3,False,0.8,hispanic leadership fund,united states hispanic leadership inst
4,False,0.6,constitutional government defense fund,u.s. constitutional rights legal def. fund
5,False,0.95,dc coalition against domestic violence,washington state native american coalition against domestic violence and sexual assault
6,False,0.7,bay area lawyers for individual freedom,ctr for individual freedom
7,False,0.95,cuyahoga county public defender’s office,travis county public defender’s office
8,True,0.85,equal protection project,equal protection project of the legal insurrection fdn
9,False,0.9,arkansas assn of chiefs of police,natl assn of police org
10,False,0.95,arizona chamber of commerce and industry,west virginia chamber of commerce
1,True,0.9,aspira,aspira assn
2,False,0.8,alj capital management,nokota capital management lp
3,False,0.9,concordia university-st. paul,university of northwestern-st. paul
4,False,0.95,maryland criminal defense attorneys’ assn,maryland states attorneys assn
5,True,0.85,nfib legal ctr,nfib small business legal ctr
6,False,1.0,california trucking assn,west virginia hospital assn
7,False,0.7,eagle forum education and legal defense fund,tennessee eagle forum
8,False,0.9,illinois pork producers assn,natl pork producers council
9,False,0.85,icircle care,workers circle
10,False,0.95,maine state troopers assn,michigan state police troopers assn
1,False,0.9,california peace officers’ assn,minnesota police and peace officers assn
2,False,0.9,american farm bureau fed,state farm bureaus of missouri
3,False,0.95,c-span,span parent advocacy network
4,False,0.9,administer justice,her justice
5,False,0.85,border project,hope border inst
6,True,0.95,seventh generation,seventh generation fund for indigenous peoples
7,False,0.95,assn of criminal defense lawyers of new jersey,louisiana assn of criminal defense lawyers
8,False,0.9,empower hope,empower missouri
9,False,0.95,intl air transport assn,motor transport assn of ct
10,True,0.9,roughrider inst,roughrider policy ctr
1,False,0.9,arizona coalition to end sexual and domestic violence,tennessee coalition to end domestic and sexual violence
2,False,0.8,gre downtowner,intl downtown assn
3,False,0.9,arkansas state chamber of commerce,longview chamber of commerce
4,False,0.7,family policy alliance of new jersey,new jersey family policy ctr
5,False,0.95,american bankers assn,iowa bankers assn
6,True,0.95,aclu fdn of louisiana,aclu of louisiana
7,False,0.85,american property owners alliance,hollywood media district property owners assn
8,False,0.85,american property owners alliance,downtown property owners assn
9,False,0.95,asian american bar assn of new york,district attorneys assn of the state of new york
10,False,0.9,montana shooting sports assn,natl shooting sports fdn
1,False,0.95,arkansas state chamber of commerce,california chamber of commerce
2,False,0.95,ctr for advanced spine technologies,here technologies
3,False,0.9,american civil liberties union fdn of arizona,american civil liberties union fdn of northern california
4,True,0.95,league of women voters,league of women voters maryland chapter
5,False,0.95,aclu of michigan,aclu of texas
6,False,0.9,massachusetts chapter of the natl org for women,natl org for women-seattle chapter
7,False,0.9,central united methodist church,western jurisdiction of the united methodist church
8,False,0.95,california state sheriffs assn,new mexico sheriffs’ assn
9,False,0.9,american waterways operators,kentucky waterways alliance
10,True,0.95,texas riogrande legal aid,texas riogrande legal aid-public defender div
1,False,0.9,colorado right to life,wisconsin right to life
2,False,0.95,everytown for gun safety,gun owners of america
3,False,0.8,coalition to stop violence against native women,community against violence
4,False,0.85,colorado psychological assn,mid county psychological associates
5,False,0.95,california state sheriffs’ assn,oklahoma sheriffs’ assn
6,False,0.9,dc coalition against domestic violence,montana coalition against domestic and sexual violence
7,True,0.85,alliance of u.s. startups,alliance of u.s. startups and inventors for jobs
8,False,0.95,mississippi college,mississippi ctr for justice
9,False,0.9,athlete ally,athletes for care
10,True,0.9,natl fraternal order of police,pennsylvania lodge of the fraternal order of police
1,False,0.7,ctr for alcohol policy,u.s. alcohol policy alliance
2,False,0.6,fair housing justice ctr,housing justice ctr
3,False,0.9,disability rights california,disability rights florida
4,False,0.8,california attorneys for criminal justice,criminal defense attorneys of michigan
5,False,0.5,indian law resource ctr,media resources
6,False,0.6,gender justice,her justice
7,False,0.7,alabama policy inst,technology policy inst
8,False,0.9,american assn of community colleges,assn of american medical colleges
9,False,0.8,southern christian leadership conference of southern california,southern christian leadership conference-memphis chapter
10,False,0.7,american civil liberties union,american civil rights project
1,False,0.9,middle rio grande conservancy district,rio grande valley equal voice network
2,False,0.8,american psychological assn,natl latinx psychological assn
3,False,0.95,libertarian party of louisiana,new jersey libertarian party
4,False,0.9,arizona chamber of commerce and industry,orthodox jewish chamber of commerce
5,False,0.85,disability rights bar assn,indiana disability rights
6,False,0.8,emmanuel college,emmanuel house
7,False,0.95,american trucking assn,nevada mining assn
8,False,0.95,bar assn of the district of columbia,virginia assn of criminal defense lawyers
9,False,0.9,asian real estate assn of america,natl real estate investors assn
10,False,0.95,california state sheriffs assn,oklahoma sheriffs’ assn
1,False,0.9,jewish pro-life fdn,pro-life wisconsin
2,False,0.95,advocates for children of new york,massachusetts advocates for children
3,False,0.9,united states justice fdn,united states of care
4,False,0.85,commonwealth second amendment,second amendment fdn
5,False,0.8,beacon,beacon ctr of tennessee
6,False,0.95,louisiana state conference of the naacp,north carolina state conference of the naacp
7,False,0.95,arkansas state chamber of commerce,kansas chamber of commerce
8,False,0.95,dell technologies,smart meter technologies
9,False,0.9,aclu of minnesota,minnesota 8
10,False,0.9,ctr for family and human rights,migrant ctr for human rights
1,False,0.9,american assn of university professors,american assn of university women-michigan chapter
2,False,0.8,american gynecological and obstetrical soc,intl fed of gynecology and obstetrics
3,False,0.95,boise metro chamber of commerce,california chamber of commerce
4,False,0.95,california family council,west virginia family policy council
5,False,0.7,california women’s law ctr,women’s coalition
6,True,0.95,minnesota pork producers assn,state pork producer assn of minnesota
7,False,0.9,activism caucus of the assn for women in psychology,assn for women in psychology
8,False,0.9,american muslim bar assn,dallas fort worth muslim bar assn
9,False,0.7,access reproductive justice,spark reproductive justice now
10,True,0.95,mountain state justice,mountain state justice (west virginia)
1,False,1.0,bucknell university,cornell university
