left_norm,right_norm,charsim,wordsim,ratio,partialratio,tokensort,tokenset,levenstein,jaro_winkler,first_letter_jaccard,combined_len,len_ratio,dc_reg_eq,openai_pred
central district consumer bankruptcy attorney assn,natl consumer law ctr,0.24891647201649172,0.2884690517227009,0.47887323943661975,0.6190476190476191,0.3380281690140845,0.5517241379310345,0.33999999999999997,0.6036925647451964,0.16666666666666666,4.2626798770413155,0.42,0.0005414990968570435,0.30000000000000004
legal aid justice ctr,legal aid of nebraska,0.43477764325258994,0.6043751559655028,0.5714285714285714,0.6470588235294117,0.4285714285714286,0.6,0.47619047619047616,0.8523809523809524,0.3333333333333333,3.7376696182833684,1.0,3.5043084748069093e-05,0.09999999999999998
league of california cities,league of women voters florida,0.3059948445718523,0.3034394402172513,0.5614035087719298,0.653061224489796,0.5263157894736843,0.6666666666666665,0.43333333333333335,0.8479365079365079,0.3333333333333333,4.04305126783455,0.9,3.5061262595432834e-05,0.050000000000000044
natl council of churches,ohio council of churches,0.7840633746807113,0.7590962094780872,0.8333333333333335,0.9090909090909091,0.7916666666666665,0.8837209302325582,0.8333333333333334,0.8222222222222223,0.6666666666666666,3.871201010907891,1.0,7.796055202272157e-05,0.15000000000000002
protect our care,protect our gun rights,0.6200968302226624,0.6769119232035147,0.6842105263157895,0.8571428571428572,0.631578947368421,0.8148148148148148,0.5909090909090908,0.8806818181818182,0.4,3.6375861597263857,0.7272727272727273,5.223805241155579e-05,0.050000000000000044
taxpayers against fraud,taxpayers against fraud education fund,0.8145301673970864,0.8749817465601928,0.7540983606557377,1.0,0.7540983606557377,1.0,0.6052631578947368,0.9210526315789473,0.75,4.110873864173311,0.6052631578947368,0.007524698469169873,0.95
arizona coalition to end sexual and domestic violence,kansas coalition against sexual and domestic violence,0.6585143849831223,0.5921738032303387,0.8301886792452831,0.8514851485148515,0.7924528301886792,0.8351648351648352,0.7547169811320755,0.7525293956795188,0.625,4.663439094112067,1.0,0.0002089627705721693,0.09999999999999998
sun life,sun life u.s.,0.7119135199012194,1.0,0.7619047619047619,1.0,0.7619047619047619,1.0,0.6153846153846154,0.9230769230769231,0.6666666666666666,3.044522437723423,0.6153846153846154,0.00016123858348586029,0.30000000000000004
enough is enough,team enough,0.6635411887554461,0.6770903787240432,0.5925925925925926,0.7777777777777779,0.5925925925925926,0.8,0.4375,0.6174242424242424,0.3333333333333333,3.295836866004329,0.6875,0.00012196769795878279,0.5
advocates for empowerment ca,arizona ctr for empowerment,0.5991712793543604,0.47940315439958486,0.7272727272727273,0.7692307692307692,0.7636363636363638,0.7636363636363636,0.6071428571428572,0.7574314574314575,1.0,4.007333185232471,0.9642857142857143,4.0066581363738473e-05,0.8
trinity college,washington university in st. louis,0.05913682817927549,0.0,0.2857142857142857,0.4,0.2857142857142857,0.2857142857142857,0.20588235294117652,0.5341057635175283,0.0,3.8918202981106265,0.4411764705882353,0.0017187223367566117,0.050000000000000044
disability rights california,disability rights tennessee,0.638819390086338,0.6709417274904996,0.6909090909090909,0.8,0.6181818181818182,0.7727272727272728,0.6428571428571428,0.8764550264550264,0.5,4.007333185232471,0.9642857142857143,0.000204560227970574,0.95
north carolina farm bureau,north dakota family alliance,0.2086681543968569,0.22188661269517282,0.5555555555555556,0.6382978723404256,0.5555555555555556,0.5555555555555556,0.4285714285714286,0.8292365529207635,0.3333333333333333,3.9889840465642745,0.9285714285714286,1.8919051853390437e-05,0.0
community legal services,veterans,0.0,0.0,0.25,0.4615384615384615,0.25,0.25,0.16666666666666663,0.5444444444444444,0.0,3.4657359027997265,0.3333333333333333,1.6096576808411313e-05,0.09999999999999998
aclu of mississippi,community health ctr assn of mississippi,0.6169621266835762,0.49845463650538524,0.576271186440678,0.8823529411764706,0.6101694915254237,0.8484848484848484,0.42500000000000004,0.6640350877192982,0.6,4.07753744390572,0.475,0.0001005260765184138,0.050000000000000044
american veterans,transgender american veterans assn,0.7067088547385747,0.6770272990220574,0.6666666666666667,1.0,0.6666666666666667,1.0,0.5,0.676470588235294,0.6666666666666666,3.9318256327243257,0.5,3.1636503728947375e-05,0.19999999999999996
louisiana coalition for reproductive freedom,rhode island ctr for freedom and prosperity,0.20568338959167154,0.23387872178513994,0.45977011494252873,0.5,0.5977011494252873,0.5977011494252874,0.2727272727272727,0.7179351656095841,0.42857142857142855,4.465908118654584,0.9772727272727273,5.1448939658064045e-05,0.09999999999999998
independent bakers assn,independent bankers assn of texas,0.6796700192368922,0.3565766942374874,0.8214285714285714,0.9565217391304348,0.8214285714285714,0.8214285714285714,0.696969696969697,0.9046113306982873,0.6,4.02535169073515,0.696969696969697,0.00010241783369641661,0.050000000000000044
jewish war veterans of the u.s.a,jewish war veterans of the usa,0.8399395697047441,0.9037909576002504,0.967741935483871,0.9666666666666667,0.967741935483871,0.967741935483871,0.9375,0.9874999999999999,1.0,4.127134385045092,0.9375,1.2614428326332795e-05,1.0
arizona citizens defense league,connecticut citizen action grp,0.22785934189683943,0.0,0.4590163934426229,0.49122807017543857,0.5573770491803278,0.5573770491803279,0.22580645161290325,0.5873708623234241,0.4,4.110873864173311,0.967741935483871,2.71369718573512e-05,0.09999999999999998
men for life,natl coalition for literacy,0.3339795364430362,0.09164250884756797,0.4615384615384615,0.75,0.4615384615384615,0.4615384615384615,0.33333333333333337,0.6203703703703703,0.4,3.6635616461296463,0.4444444444444444,5.9390345642087304e-05,0.09999999999999998
d.c. assn of criminal defense lawyers,oklahoma criminal defense lawyer’s assn,0.59843256224175,0.5028333522468628,0.7105263157894737,0.7605633802816901,0.8157894736842105,0.8157894736842105,0.5641025641025641,0.6933471933471934,1.0,4.330733340286331,0.9487179487179487,0.0,0.050000000000000044
aclu of the district of columbia,women’s bar assn of the district of columbia,0.7186883966327178,0.7015773297517794,0.7631578947368421,0.9333333333333332,0.7631578947368421,0.9056603773584905,0.6590909090909092,0.6941940961337513,0.7142857142857143,4.330733340286331,0.7272727272727273,4.206964837694029e-05,0.050000000000000044
alumni free speech alliance,free speech coalition,0.5134869854081955,0.6155910364521927,0.6666666666666667,0.7804878048780488,0.6666666666666667,0.6875,0.4814814814814815,0.6757962444236955,0.5,3.871201010907891,0.7777777777777778,0.00012261657189018148,0.19999999999999996
american bar assn,natl asian pacific american bar assn,0.6331436154349775,0.6413068066113782,0.6415094339622642,1.0,0.6415094339622642,1.0,0.4722222222222222,0.5686274509803922,0.5,3.970291913552122,0.4722222222222222,8.847648213837329e-05,0.050000000000000044
american assn of community colleges,assn of american medical colleges,0.586574211914127,0.7298499424639509,0.5882352941176471,0.6779661016949151,0.8235294117647058,0.8620689655172414,0.37142857142857144,0.7777250335871025,0.75,4.219507705176107,0.9428571428571428,0.000326681278880786,0.09999999999999998
aware,californians aware,0.5056753419599712,0.7186086259080512,0.43478260869565216,1.0,0.43478260869565216,1.0,0.2777777777777778,0.4777777777777777,0.5,3.1354942159291497,0.2777777777777778,2.247430512301475e-05,0.30000000000000004
disability rights florida,disability rights maryland,0.6429699804897697,0.6280926140805726,0.7843137254901962,0.8444444444444444,0.7843137254901962,0.8095238095238095,0.7307692307692308,0.9361398601398602,0.5,3.9318256327243257,0.9615384615384616,9.292827017636755e-05,0.09999999999999998
michigan assn of police org,natl assn of chiefs of police,0.4358031679891117,0.47585249166903726,0.5714285714285714,0.6511627906976745,0.75,0.7169811320754716,0.27586206896551724,0.7062966833081775,0.5,4.02535169073515,0.9310344827586207,4.529935643799545e-05,0.19999999999999996
d.c. assn of criminal defense lawyers,natl assn of criminal defense lawyers,0.8086563469220803,0.9384530854981726,0.8918918918918919,0.9428571428571427,0.8648648648648648,0.927536231884058,0.8918918918918919,0.7966147966147966,0.8333333333333334,4.30406509320417,1.0,0.0,0.050000000000000044
catholic charities dc,catholic charities west michigan,0.630167730905163,0.5862166756917107,0.7547169811320755,0.95,0.7547169811320755,0.923076923076923,0.625,0.9154761904761906,0.25,3.970291913552122,0.65625,0.00016714798681899631,0.050000000000000044
defense of freedom inst,tax freedom inst,0.6165867750073298,0.5573743388562464,0.6666666666666667,0.896551724137931,0.6666666666666667,0.8571428571428571,0.5652173913043479,0.6643673355629877,0.4,3.6635616461296463,0.6956521739130435,0.0,0.09999999999999998
american fed of teachers,american fed of teachers afl-cio,0.7391661292594167,0.707766861920788,0.8571428571428572,1.0,0.8571428571428572,1.0,0.75,0.95,1.0,4.02535169073515,0.75,9.506647293415862e-05,0.95
american assn of university women-michigan chapter,university of michigan,0.4995191931650067,0.654315020114901,0.5555555555555556,0.7727272727272727,0.5277777777777778,0.7428571428571428,0.4,0.6769696969696969,0.3333333333333333,4.276666119016055,0.44,3.4676519164527115e-05,0.0
american independent natl comm,independence inst,0.5717798152304621,0.0,0.5531914893617021,0.7647058823529411,0.5531914893617021,0.5531914893617021,0.3666666666666667,0.7206699346405229,0.25,3.8501476017100584,0.5666666666666667,6.477896866279804e-05,0.30000000000000004
asian american bar assn of new york,muslim bar assn of new york,0.5915187563336859,0.669736902701841,0.7741935483870968,0.875,0.6451612903225806,0.851063829787234,0.6285714285714286,0.7193121693121692,0.8333333333333334,4.127134385045092,0.7714285714285715,0.0006929523408926604,0.050000000000000044
due process inst,due process of law fdn,0.679831679098978,0.8196661457459288,0.6842105263157895,0.8571428571428572,0.6842105263157895,0.8148148148148148,0.5454545454545454,0.8806818181818182,0.3333333333333333,3.6375861597263857,0.7272727272727273,6.0480637024998964e-05,0.30000000000000004
family fdn,new jersey family fdn,0.677912592284073,0.6598230435321346,0.6451612903225806,1.0,0.6451612903225806,1.0,0.47619047619047616,0.44682539682539685,0.3333333333333333,3.4339872044851463,0.47619047619047616,0.00011751021505383873,0.19999999999999996
ethics and religious liberty commission,ethics and religious liberty commission of the southern baptist conference,0.7383662859099968,0.7525168394248081,0.6902654867256637,1.0,0.6902654867256637,1.0,0.527027027027027,0.9054054054054055,0.5555555555555556,4.727387818712341,0.527027027027027,0.00010926148341553732,0.95
catholics count,catholics for choice,0.6046324123118391,0.5646778773579645,0.6857142857142857,0.814814814814815,0.6857142857142857,0.75,0.6,0.8633333333333333,0.5,3.5553480614894135,0.75,0.00015188719691151166,0.09999999999999998
american muslim bar assn,muslim bar assn of new york,0.6724463869240602,0.7301310482944079,0.5882352941176471,0.7692307692307692,0.5882352941176471,0.7692307692307692,0.2222222222222222,0.6574074074074073,0.5,3.9318256327243257,0.8888888888888888,2.953121657110764e-05,0.15000000000000002
legal aid soc,legal aid soc of the city of new york,0.5918422520481407,0.6423431492142193,0.52,1.0,0.52,1.0,0.3513513513513513,0.8702702702702703,0.375,3.912023005428146,0.35135135135135137,0.00012164081958141236,0.9
lgbt bar assn of los angeles,women lawyers assn of los angeles,0.603007459817719,0.6113407715434674,0.7540983606557377,0.84,0.7213114754098361,0.8085106382978724,0.696969696969697,0.7225829725829725,0.6,4.110873864173311,0.8484848484848485,8.246826074791733e-05,0.050000000000000044
federal public and community defenders,federal public defender of oregon,0.6117841707140045,0.42667713191254314,0.6478873239436621,0.7037037037037037,0.6478873239436621,0.6478873239436621,0.5,0.8687045897572213,0.5,4.2626798770413155,0.868421052631579,0.00012920609102515162,0.09999999999999998
consumer action,florida consumer action network,0.640150370203211,0.734566141275957,0.6521739130434783,1.0,0.6521739130434783,1.0,0.4838709677419355,0.6724014336917562,0.5,3.828641396489095,0.4838709677419355,0.0034920968303226367,0.30000000000000004
new york county defender service,new york county defender services,0.9845284679203409,0.7660451579995042,0.9846153846153847,1.0,0.9846153846153847,0.9846153846153847,0.9696969696969697,0.993939393939394,1.0,4.174387269895637,0.9696969696969697,0.0003866462929490966,0.95
nebraska farm bureau fed,state farm bureaus of nebraska,0.6965661117760824,0.49406207139641756,0.6296296296296297,0.7111111111111111,0.7407407407407408,0.8518518518518519,0.43333333333333335,0.6996031746031747,0.6,3.9889840465642745,0.8,0.00035076956610484905,0.8
american free enterprise chamber of commerce,kansas chamber of commerce,0.5453152220106762,0.5205168317559545,0.657142857142857,0.875,0.6285714285714286,0.8444444444444444,0.5227272727272727,0.6839549339549339,0.3333333333333333,4.248495242049359,0.5909090909090909,7.864468034317187e-05,0.09999999999999998
